,PMID,TITLE,File,Article Citation,Accession ID,Last Updated (YYYY-MM-DD HH:MM:SS),License
0,31143357,Non-operative management of blunt splenic injury: is it really so extensively feasible? a critical appraisal of a single-center experience.,oa_package/1c/f7/PMC6522183.tar.gz,Pan Afr Med J. 2019 Jan 30; 32:52,PMC6522183,5/31/2019 18:56,CC BY
44,28427480,Lessons from a large trauma center: impact of blunt chest trauma in polytrauma patients-still a relevant problem?,oa_package/77/77/PMC5399315.tar.gz,Scand J Trauma Resusc Emerg Med. 2017 Apr 20; 25:42,PMC5399315,4/24/2017 20:08,CC BY
55,24775970,An outcome prediction model for exsanguinating patients with blunt abdominal trauma after damage control laparotomy: a retrospective study.,oa_package/b4/54/PMC4009036.tar.gz,BMC Surg. 2014 Apr 28; 14:24,PMC4009036,10/6/2014 11:57,CC BY
71,24299060,Comparison between laparotomy first versus angiographic embolization first in patients with pelvic fracture and hemoperitoneum: a nationwide observational study from the Japan Trauma Data Bank.,oa_package/0a/0a/PMC4222129.tar.gz,Scand J Trauma Resusc Emerg Med. 2013 Dec 3; 21:82,PMC4222129,11/6/2014 19:17,CC BY
76,31686923,"Combination of liver enzymes, amylase and abdominal ultrasound tests have acceptable diagnostic values as an alternative test for abdominopelvic CT scan in blunt abdominal trauma.",oa_package/b2/ab/PMC6709808.tar.gz,Open Access Emerg Med. 2019 Aug 22; 11:205-210,PMC6709808,11/7/2019 19:17,CC BY-NC
120,30250523,Establishment and evaluation of a Beagle model of grade III pancreatic trauma.,oa_package/56/83/PMC6144112.tar.gz,Exp Ther Med. 2018 Oct 24; 16(4):3452-3458,PMC6144112,9/26/2018 18:07,CC BY-NC-ND
146,27785229,A Pancreatic Solid Pseudo-Papillary Tumor Detected After Abdominal Injury.,oa_package/48/fc/PMC5051160.tar.gz,Gastroenterology Res. 2013 Apr 3; 6(2):67-70,PMC5051160,10/30/2016 21:27,CC BY
150,22787343,Evaluation of amylase and lipase levels in blunt trauma abdomen patients.,oa_package/13/e2/PMC3391837.tar.gz,J Emerg Trauma Shock. 2012 Apr-Jun; 5(2):135-142,PMC3391837,7/13/2012 18:03,CC BY-NC-SA
191,16759402,Laparoscopic diagnostic peritoneal lavage (L-DPL): A method for evaluation of penetrating abdominal stab wounds.,oa_package/3a/e0/PMC1459265.tar.gz,World J Emerg Surg. 2006 Mar 24; 1:3,PMC1459265,4/5/2013 15:49,CC BY
198,20823973,Analysis of urobilinogen and urine bilirubin for intra-abdominal injury in blunt trauma patients.,oa_package/e8/f2/PMC2908658.tar.gz,West J Emerg Med. 2010 May; 11(2):201,PMC2908658,4/13/2017 12:27,CC BY-NC
201,19561824,Analysis of urobilinogen and urine bilirubin for intra-abdominal injury in blunt trauma patients.,oa_package/ff/c0/PMC2691510.tar.gz,West J Emerg Med. 2009 May; 10(2):85-88,PMC2691510,4/13/2017 18:07,CC BY-NC
216,28616615,The predictive value of biochemical parameters in evaluating patients with abdominal trauma: The new scoring system.,oa_package/f5/c6/PMC5459518.tar.gz,Turk J Emerg Med. 2017 Jan 4; 17(2):48-55,PMC5459518,6/16/2017 10:07,CC BY-NC-ND
259,28049498,Should we perform a FAST exam in haemodynamically stable patients presenting after blunt abdominal injury: a retrospective cohort study.,oa_package/7f/8a/PMC5210260.tar.gz,Scand J Trauma Resusc Emerg Med. 2017 Jan 3; 25:1,PMC5210260,1/6/2017 19:08,CC BY
275,25210512,"Urinary Trypsin Inhibitor Ameliorates Seawater Immersion-Induced Intestinal Mucosa Injury via Antioxidation, Modulation of NF-κB Activity, and Its Related Cytokines in Rats with Open Abdominal Injury.",oa_package/e8/45/PMC4158255.tar.gz,Gastroenterol Res Pract. 2014 Aug 21; 2014:858237,PMC4158255,6/2/2017 11:43,CC BY
