KEYWORD A,KEYWORD B,COUNT
abdominal injury,α-fetoprotein,0
abdominal injury,4-hydroxy-phenylpyruvate dioxygenase (hpd),0
abdominal injury,5’ nucleotidase,0
abdominal injury,alpha-glutathiones-transferase,0
abdominal injury,alpha fetoprotein,0
abdominal injury,(afp),0
abdominal injury,arginase-1,0
abdominal injury,arginase 1,0
abdominal injury,(arg1),0
abdominal injury,argininosuccinate synthetase,0
abdominal injury,(ass),0
abdominal injury,abbreviated injury scale,9
abdominal injury,albumin,0
abdominal injury,amylase,6
abdominal injury,alt: alanine aminotransferase,0
abdominal injury,alp: alkaline phosphatase,0
abdominal injury,ast: aspartate aminotransferase,0
abdominal injury,apache ii,0
abdominal injury,area under the receiver operating characteristic curve,0
abdominal injury,arterial pressure,1
abdominal injury,arterial partial pressure of carbon dioxide,0
abdominal injury,arterial partial pressure of oxygen,0
abdominal injury,aurocs,0
abdominal injury,auc,2
abdominal injury,active t lymphocytes,0
abdominal injury,(atl),0
abdominal injury,amylase,6
abdominal injury,amyloid a,0
abdominal injury,arterial ph,0
abdominal injury,bilirubin,2
abdominal injury,biochemical,4
abdominal injury,biochemical marker,0
abdominal injury,biochemical panel,0
abdominal injury,biomarkers,3
abdominal injury,biomarker panel,0
abdominal injury,biochemical parameters,1
abdominal injury,blood urine nitrogen,0
abdominal injury,blood pressure,16
abdominal injury,bun,0
abdominal injury,bnp,0
abdominal injury,b lymphocytes,0
abdominal injury,(cd3),0
abdominal injury,(cd4),0
abdominal injury,(cd8),1
abdominal injury,complete blood counts,0
abdominal injury,c3 complement,0
abdominal injury,complement factor b,0
abdominal injury,computed tomogram,0
abdominal injury,c5a,0
abdominal injury,chip,0
abdominal injury,ck-mb,1
abdominal injury,clinical factors,1
abdominal injury,clinical variable,0
abdominal injury,creatinine,2
abdominal injury,creatine kinase,0
abdominal injury,c-reactive protein,1
abdominal injury,crp,1
abdominal injury,coagulation tests,0
abdominal injury,complement,0
abdominal injury,computed tomography,65
abdominal injury,computed tomographic scanning,0
abdominal injury,creatine kinase muscle and brain,0
abdominal injury,ctni,0
abdominal injury,ct scan,36
abdominal injury,cystatin c,0
abdominal injury,cystatin-c,0
abdominal injury,cxcl10,0
abdominal injury,cxcr3,0
abdominal injury,cadherin-5,0
abdominal injury,calcium,0
abdominal injury,caspase cleaved cytokeratin 18,0
abdominal injury,(cck18),0
abdominal injury,cdh5,0
abdominal injury,ceruloplasmin,0
abdominal injury,clinical parameters,1
abdominal injury,collagen iv,0
abdominal injury,cytokeratin 18,0
abdominal injury,d-dimer,1
abdominal injury,diagnosis,107
abdominal injury,diagnostic,85
abdominal injury,diagnostic modelling,0
abdominal injury,estimated glomerular filtration rate,0
abdominal injury,estrogen sulfotransferase,0
