,Unnamed: 0,PMID,TITLE,FILEPATH,PAPER_TYPE,STUDY_TYPE,trauma_counts,rejected,rejection_log,SORTED_FILEPATH
0,0,10402182,Non-typhoid Salmonella meningitis complicated by a infarction of basal ganglia.,PDF\10402182\10402182.pdf,Case Reports,,0.0,True,['trauma_count'],Others\Case Reports\10402182.pdf
1,1,10604786,Anesthetic implications of laparoscopic surgery.,PDF\10604786\yjbm00025-0102.pdf,Comparative Study,human,18.0,False,,Human Studies\Comparative Study\yjbm00025-0102.pdf
2,2,10662791,"Protease-activated receptor 1 mediates thrombin-dependent, cell-mediated renal inflammation in crescentic glomerulonephritis.",PDF\10662791\99-0997.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\99-0997.pdf
3,3,10772488,Effects of long-term phenobarbital treatment on the liver in dogs.,PDF\10772488\JVIM-14-165.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\JVIM-14-165.pdf
4,4,10983693,Concurrent chemotherapy and radiotherapy in invasive cervical cancer patients with high risk factors.,PDF\10983693\10983693.pdf,Comparative Study,,0.0,True,['trauma_count'],Others\Comparative Study\10983693.pdf
5,5,1104750,Mediation systems in bacterial lipopolysaccharide-induced hypotension and disseminated intravascular coagulation. I. The role of complement.,PDF\1104750\je14261570.pdf,Journal Article,both,1.0,True,['trauma_count'],Both\Journal Article\je14261570.pdf
6,6,11056723,Comparison of procalcitonin (PCT) and C-reactive protein (CRP) plasma concentrations at different SOFA scores during the course of sepsis and MODS.,PDF\11056723\cc-3-1-045.pdf,Journal Article,both,1.0,True,['trauma_count'],Both\Journal Article\cc-3-1-045.pdf
7,7,11056759,Prospectively validated predictions of shock and organ failure in individual septic surgical patients: the Systemic Mediator Associated Response Test.,PDF\11056759\cc-4-5-319.pdf,Clinical Trial,human,21.0,False,,Human Studies\Clinical Trial\cc-4-5-319.pdf
8,8,11094489,Blood substitutes. Haemoglobin therapeutics in clinical practice.,PDF\11094489\cc365.pdf,Journal Article,both,7.0,False,,Both\Journal Article\cc365.pdf
9,9,11106350,"Diagnosis and monitoring of hepatic injury. II. Recommendations for use of laboratory tests in screening, diagnosis, and monitoring.",PDF\11106350\clinchem2050.pdf,Journal Article,human,0.0,True,['trauma_count'],Human Studies\Journal Article\clinchem2050.pdf
10,10,11255592,Pathophysiology of fluid imbalance.,PDF\11255592\cc968.pdf,Journal Article,both,11.0,False,,Both\Journal Article\cc968.pdf
11,11,11299067,Close relationship of tissue plasminogen activator-plasminogen activator inhibitor-1 complex with multiple organ dysfunction syndrome investigated by means of the artificial pancreas.,PDF\11299067\CC-5-2-088.pdf,Journal Article,both,2.0,True,['trauma_count'],Both\Journal Article\CC-5-2-088.pdf
12,12,11359693,Fumonisin toxicosis in swine: an overview of porcine pulmonary edema and current perspectives.,PDF\11359693\ehp109s-000251.pdf,Comparative Study,both,0.0,True,['trauma_count'],Both\Comparative Study\ehp109s-000251.pdf
13,13,11368260,Septic shock resulting in death after operative delivery.,PDF\11368260\IDOG-09-051.pdf,Case Reports,human,0.0,True,['trauma_count'],Human Studies\Case Reports\IDOG-09-051.pdf
14,14,11379985,Microvascular endothelial dysfunction: a renewed appreciation of sepsis pathophysiology.,PDF\11379985\cc1332.pdf,Journal Article,both,2.0,True,['trauma_count'],Both\Journal Article\cc1332.pdf
15,15,11394431,Rare complications of endoscopic retrograde cholangiopancreatography: two case reports.,PDF\11394431\jsls-5-2-171.pdf,Case Reports,human,0.0,True,['trauma_count'],Human Studies\Case Reports\jsls-5-2-171.pdf
16,16,11737909,Noradrenaline and the kidney: friends or foes?,PDF\11737909\cc1052.pdf,Journal Article,both,1.0,True,['trauma_count'],Both\Journal Article\cc1052.pdf
17,17,11737923,"Gender-related plasma levels of progesterone, interleukin-8 and interleukin-10 during and after cardiopulmonary bypass in infants and children.",PDF\11737923\CC-5-6-343.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\CC-5-6-343.pdf
18,18,11737927,The attributable mortality and length of intensive care unit stay of clinically important gastrointestinal bleeding in critically ill patients.,PDF\11737927\CC-5-6-368.pdf,Journal Article,human,3.0,False,,Human Studies\Journal Article\CC-5-6-368.pdf
19,19,11769337,Fibrin glue eliminates the need for packing after complex liver injuries.,PDF\11769337\yjbm00014-0017.pdf,Journal Article,both,24.0,False,,Both\Journal Article\yjbm00014-0017.pdf
20,20,12021306,Pivotal role of dendritic cell-derived CXCL10 in the retention of T helper cell 1 lymphocytes in secondary lymph nodes.,PDF\12021306\011983.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\011983.pdf
21,21,12225613,The effects of IgM-enriched immunoglobulin preparations in patients with severe sepsis [ISRCTN28863830].,PDF\12225613\cc1523.pdf,Clinical Trial,both,1.0,True,['trauma_count'],Both\Clinical Trial\cc1523.pdf
22,22,12391016,Inactivation of the osteopontin gene enhances vascular calcification of matrix Gla protein-deficient mice: evidence for osteopontin as an inducible inhibitor of vascular calcification in vivo.,PDF\12391016\20020911.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\20020911.pdf
23,23,12493070,Bench-to-bedside review: Cytopathic hypoxia.,PDF\12493070\cc1824.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\cc1824.pdf
24,24,12617744,Esophageal capnometry during hemorrhagic shock and after resuscitation in rats.,PDF\12617744\cc1856.pdf,Journal Article,both,6.0,False,,Both\Journal Article\cc1856.pdf
25,25,12673413,Clinical study of Japanese spotted fever and its aggravating factors.,PDF\12673413\10156_2003_Article_223.pdf,Journal Article,human,0.0,True,['trauma_count'],Human Studies\Journal Article\10156_2003_Article_223.pdf
26,26,12689344,The course of traumatic pancreatitis in a patient with pancreas divisum: a case report.,PDF\12689344\1471-230X-3-4.pdf,Case Reports,both,11.0,False,,Both\Case Reports\1471-230X-3-4.pdf
27,27,12737865,Haemorrhagic-fever-like changes and normal chest radiograph in a doctor with SARS.,PDF\12737865\main.pdf,Case Reports,human,0.0,True,['trauma_count'],Human Studies\Case Reports\main.pdf
28,28,12769823,Animal models of copper-associated liver disease.,PDF\12769823\1476-5926-2-5.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\1476-5926-2-5.pdf
29,29,12923328,The role of nitric oxide in experimental cerulein induced pancreatitis.,PDF\12923328\12923328.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\12923328.pdf
30,30,1299238,Papillary muscle necrosis in neonates and infants--analysis of 209 autopsies.,PDF\1299238\1299238.pdf,Journal Article,,0.0,True,['trauma_count'],Others\Journal Article\1299238.pdf
31,31,14325476,PATHOGENIC FACTORS IN VASULAR LESIONS OF EXPERIMENTAL SERUM SICKNESS.,PDF\14325476\83.pdf,Journal Article,both,0.0,True,['trauma_count'],Both\Journal Article\83.pdf
