biomarker,mof_auc
iss,0.83
ais head1,0.77
ais extremity5,0.7
hepatic failure,0.68
hr0_D-Dimer,0.67
 GCS (ED arrival),0.66
hr0_hgb,0.66
hr0_pt,0.65
hr0_pH,0.64
hr0_factorv,0.64
ais chest3,0.63
smoking status,0.62
hr0_temperature,0.61
albumin,0.59
hr0_inr,0.59
coagulopathy,0.59
hr0_respiratory rate,0.58
hr0_creatinine,0.58
hr0_wbc,0.58
hr0_factorii,0.58
latino,0.57
ais face2,0.57
aids,0.56
hr0_ptt,0.56
hr0_factorvii,0.56
hr0_tfpi,0.56
age,0.55
immuno-suppression,0.55
hr0_heart rate,0.55
hr0_SBP,0.55
hr0_lactate,0.55
hr0_atiii,0.55
race,0.54
cirrhosis,0.54
hr0_HCO3,0.54
day1_urine output total (ml),0.54
hr0_BUN,0.54
hr0_plts,0.54
hr0_factorx,0.54
hr0_hct,0.53
hr0_fibrinogen,0.53
hr0_factorviii,0.53
hr0_Protein C,0.53
hiv,0.52
ais skin6,0.52
hr0_pt_rlab,0.52
esrd dialysis,0.51
ais abdomen4,0.51
bmi,0.5
copd,0.5
ild,0.5
other chronic lung disease,0.5
hr0_paCO2,0.5
day1_bilirubin,0.5
hr0_factorix,0.5
cad,0.49
chf,0.49
hr0_serum CO2,0.49
diabetes,0.48
malignancy,0.48
APACHE-2,0.48
asthma,0.47
hr0_ptt_rlab,0.47
hr0_paO2,0.43
